name,handedness,height,weight,avg,HR
Brandon Hyde,R,75,210,0,0
Carey Selph,R,69,175,0.277,0
Philip Nastu,L,74,180,0.04,0
Kent Hrbek,L,76,200,0.282,293
Bill Risley,R,74,215,0,0
 Wood,, , ,0,0
Steve Gajkowski,R,74,200,0,0
Rick Schu,R,72,170,0.246,41
Tom Brown,R,73,170,0,0
Tom Browning,L,73,190,0.153,2
Tommy Brown,R,73,170,0.241,31
Tom Brown,B,73,190,0.147,1
Joe Burg,R,70,143,0.326,0
Tom Brown,L,70,168,0.265,64
Terry McGriff,R,74,190,0.206,3
Floyd Bannister,L,73,190,0.175,0
Richard Hidalgo,R,75,220,0.269,171
Denny Lemaster,R,73,182,0.13,4
George Stultz,,70,150,0.333,0
Joe Nolan,L,71,175,0.263,27
Paul Hinson,R,70,150,0,0
George Young,L,72,185,0,0
Gerald Young,B,74,185,0.246,3
Tim Talton,L,75,200,0.295,2
Johnny Schaive,R,68,175,0.232,6
Martin Mullen,, , ,0,0
Wally Reinecker,R,66,150,0.125,0
Russ Kerns,L,72,188,0,0
Chris Gwynn,L,72,200,0.261,17
Joe Kraemer,L,74,185,0,0
Gary Gentry,R,72,170,0.095,0
Aaron Myette,R,76,195,0,0
Roger Pavlik,B,75,220,0,0
Fernando Rodney,R,71,215,0,0
Denny Doyle,L,69,175,0.25,16
Slim McGrew,R,79,235,0,0
Jason Lane,R,74,225,0.241,61
Frankie Gustine,R,72,175,0.265,38
Hardie Henderson,R, ,200,0.204,2
Phil Tomney,R,67,155,0.232,5
Jose Cardenal,R,70,150,0.275,138
John Carden,R,77,210,0,0
Frank Charles,R,76,210,0.429,0
Ben Harrison,, , ,0,0
Ben Harris,R,72,220,0.2,0
Ambiorix Burgos,R,75,235,0,0
John Dowd,R,68,170,0.194,0
Scat Metha,R,71,165,0.243,0
Rogers McKee,L,73,160,0.2,0
Carmen Hill,R,73,180,0.191,0
Charlie Sweasy,R,69,172,0.194,0
Alex Monchak,R,72,180,0.143,0
Antonio Osuna,R,71,160,0.111,0
Otto Schomberg,L,71,175,0.283,7
Ryan Ludwick,R,75,220,0.262,145
Courtney Duncan,L,72,185,0,0
Bill Moisan,L,73,170,0,0
Wilkin Castillo,B,72,200,0.314,0
Gary Buckels,R,72,185,0,0
Garland Buckeye,B,72,260,0.23,5
Danny Richar,L,73,205,0.229,6
Dave Pavlas,R,79,180,0,0
Ben Dyer,R,70,170,0.237,0
Butch Wensloff,R,71,185,0.194,0
Mike Ryan,, , ,0,0
Mike Ryan,R,74,205,0.193,28
Swede Risberg,R,72,175,0.243,6
George Haddock,R,71,155,0.227,6
Chad Allen,R,73,195,0.269,14
Joe Klugmann,R,71,175,0.251,0
Willard Schmidt,R,73,187,0.163,0
Lew Brown,R,70,185,0.248,10
Leon Brown,R,72,185,0.214,0
Bob Bruce,R,75,200,0.15,0
Jason Ryan,B,75,185,0,0
Jack Ryan,R,70,165,0.217,4
Dave Hill,R,74,170,0,0
Jack Ryan,R,72,185,0,0
Jim Lindeman,R,73,200,0.244,21
Steve Johnson,R,73,220,0,0
Norm Gigon,R,72,195,0.171,1
Eddie Higgins,R,72,174,0.231,0
Sandy Ullrich,R,73,180,0.28,0
Mike Kingery,L,72,180,0.268,30
Limb McKenry,R,76,205,0.184,0
Ed Hallinan,R,69,168,0.212,0
Ham Iburg,R,71,165,0.138,0
Quinton McCracken,B,67,170,0.274,21
Duke Carmel,L,75,202,0.211,4
L. Smith,,70,165,0,0
Emmett Rogers,B,70,165,0.173,0
Dick Drago,R,73,190,0.077,0
Frank Rooney,, , ,0.2,1
